date,gameweek,home,home_score,away_score,away
2015-09-06 11:00:00,23,Chapecoense,0,0,Ponte Preta
2015-09-06 16:00:00,23,Avaí,0,2,Coritiba
2015-09-06 16:00:00,23,Grêmio,2,1,Goiás
2015-09-06 16:00:00,23,Fluminense,1,3,Flamengo
2015-09-06 16:00:00,23,Palmeiras,3,3,Corinthians
2015-09-06 18:30:00,23,Sport Recife,1,1,Santos
2015-09-09 19:30:00,24,Ponte Preta,0,1,Vasco da Gama
2015-09-09 19:30:00,24,Atlético Mineiro,2,0,Avaí
2015-09-09 19:30:00,24,Internacional,1,0,Palmeiras
2015-09-09 21:00:00,24,Figueirense,1,1,Atl Paranaense
2015-09-09 22:00:00,24,Coritiba,1,1,Fluminense
2015-09-09 22:00:00,24,Corinthians,1,1,Grêmio
2015-09-09 22:00:00,24,Santos,3,0,São Paulo
2015-09-10 19:30:00,24,Goiás,1,0,Sport Recife
2015-09-10 21:00:00,24,Joinville,0,0,Chapecoense
2015-09-10 21:00:00,24,Flamengo,2,0,Cruzeiro
2015-09-12 18:30:00,25,Coritiba,0,1,Internacional
2015-09-12 21:00:00,25,Palmeiras,2,0,Figueirense
2015-09-13 11:00:00,25,Corinthians,3,0,Joinville
2015-09-13 11:00:00,25,Ponte Preta,3,1,Santos
2015-09-13 16:00:00,25,Chapecoense,1,3,Flamengo
2015-09-13 16:00:00,25,Vasco da Gama,2,0,Atl Paranaense
2015-09-13 16:00:00,25,Grêmio,1,2,São Paulo
2015-09-13 16:00:00,25,Cruzeiro,1,1,Atlético Mineiro
2015-09-13 18:30:00,25,Avaí,2,1,Goiás
2015-09-13 18:30:00,25,Sport Recife,1,0,Fluminense
2015-09-16 19:30:00,26,Joinville,1,1,Sport Recife
2015-09-16 19:30:00,26,Fluminense,1,4,Palmeiras
2015-09-16 19:30:00,26,Goiás,1,2,Ponte Preta
2015-09-16 21:00:00,26,Atl Paranaense,1,2,Grêmio
2015-09-16 21:00:00,26,Figueirense,0,1,Avaí
2015-09-16 22:00:00,26,Cruzeiro,2,2,Vasco da Gama
2015-09-16 22:00:00,26,Santos,4,0,Atlético Mineiro
2015-09-16 22:00:00,26,Internacional,2,1,Corinthians
2015-09-17 19:30:00,26,São Paulo,0,0,Chapecoense
2015-09-17 21:00:00,26,Flamengo,0,2,Coritiba
2015-09-19 18:30:00,27,Internacional,1,1,Figueirense
2015-09-19 18:30:00,27,Palmeiras,3,2,Grêmio
2015-09-19 21:00:00,27,Ponte Preta,3,1,Fluminense
2015-09-20 11:00:00,27,Corinthians,2,0,Santos
2015-09-20 11:00:00,27,Goiás,3,0,Joinville
2015-09-20 16:00:00,27,Vasco da Gama,2,1,Sport Recife
2015-09-20 16:00:00,27,Avaí,2,1,São Paulo
2015-09-20 16:00:00,27,Atlético Mineiro,4,1,Flamengo
2015-09-20 18:30:00,27,Chapecoense,0,2,Cruzeiro
2015-09-20 18:30:00,27,Coritiba,2,0,Atl Paranaense
2015-09-26 18:30:00,28,Fluminense,2,0,Goiás
2015-09-26 21:00:00,28,Grêmio,3,1,Avaí
2015-09-27 11:00:00,28,Santos,3,1,Internacional
2015-09-27 11:00:00,28,Atl Paranaense,1,2,Ponte Preta
2015-09-27 16:00:00,28,Joinville,2,2,Atlético Mineiro
2015-09-27 16:00:00,28,Figueirense,1,3,Corinthians
2015-09-27 16:00:00,28,São Paulo,1,1,Palmeiras
2015-09-27 16:00:00,28,Flamengo,1,2,Vasco da Gama
2015-09-27 18:30:00,28,Sport Recife,3,0,Chapecoense
2015-09-27 18:30:00,28,Cruzeiro,2,0,Coritiba
2015-10-03 18:30:00,29,Internacional,2,1,Sport Recife
2015-10-03 18:30:00,29,Coritiba,0,3,Atlético Mineiro
2015-10-03 21:00:00,29,São Paulo,1,0,Atl Paranaense
2015-10-04 11:00:00,29,Avaí,1,1,Vasco da Gama
2015-10-04 11:00:00,29,Flamengo,2,0,Joinville
2015-10-04 16:00:00,29,Goiás,2,3,Figueirense
2015-10-04 16:00:00,29,Ponte Preta,2,2,Corinthians
2015-10-04 16:00:00,29,Cruzeiro,0,0,Grêmio
2015-10-04 16:00:00,29,Santos,3,1,Fluminense
2015-10-04 18:30:00,29,Chapecoense,5,1,Palmeiras
2015-10-14 19:30:00,30,Atlético Mineiro,2,1,Internacional
2015-10-14 19:30:00,30,Sport Recife,3,0,Avaí
2015-10-14 21:00:00,30,Palmeiras,0,1,Ponte Preta
2015-10-14 21:00:00,30,Joinville,3,1,Coritiba
2015-10-14 21:00:00,30,Figueirense,3,0,Flamengo
2015-10-14 22:00:00,30,Fluminense,2,0,São Paulo
2015-10-14 22:00:00,30,Atl Paranaense,2,2,Cruzeiro
2015-10-15 19:30:00,30,Corinthians,3,0,Goiás
2015-10-15 19:30:00,30,Vasco da Gama,1,1,Chapecoense
2015-10-15 21:00:00,30,Grêmio,1,0,Santos
2015-10-17 18:30:00,31,Avaí,1,3,Palmeiras
2015-10-17 21:00:00,31,Joinville,1,0,Figueirense
2015-10-18 11:00:00,31,Cruzeiro,2,0,Fluminense
2015-10-18 11:00:00,31,Ponte Preta,3,0,Coritiba
2015-10-18 16:00:00,31,São Paulo,2,2,Vasco da Gama
2015-10-18 16:00:00,31,Flamengo,0,1,Internacional
2015-10-18 16:00:00,31,Atl Paranaense,1,4,Corinthians
2015-10-18 17:00:00,31,Grêmio,2,3,Chapecoense
2015-10-18 17:00:00,31,Santos,3,1,Goiás
2015-10-18 17:30:00,31,Sport Recife,4,1,Atlético Mineiro
2015-10-24 17:00:00,32,Fluminense,0,1,Atl Paranaense
2015-10-24 18:30:00,32,Figueirense,0,0,Santos
2015-10-24 18:30:00,32,Internacional,1,0,Joinville
2015-10-24 21:00:00,32,Palmeiras,0,2,Sport Recife
2015-10-25 17:00:00,32,Chapecoense,0,0,Avaí
2015-10-25 17:00:00,32,Vasco da Gama,0,0,Grêmio
2015-10-25 17:00:00,32,Corinthians,1,0,Flamengo
2015-10-25 17:00:00,32,Coritiba,1,2,São Paulo
2015-10-25 18:00:00,32,Goiás,0,1,Cruzeiro
2015-10-25 19:30:00,32,Atlético Mineiro,2,1,Ponte Preta
2015-10-31 17:00:00,33,São Paulo,3,0,Sport Recife
2015-10-31 19:30:00,33,Avaí,1,1,Cruzeiro
2015-10-31 19:30:00,33,Ponte Preta,1,0,Joinville
2015-10-31 21:00:00,33,Coritiba,1,1,Figueirense
2015-11-01 17:00:00,33,Chapecoense,0,0,Atl Paranaense
2015-11-01 17:00:00,33,Grêmio,2,0,Flamengo
2015-11-01 17:00:00,33,Santos,2,1,Palmeiras
2015-11-01 17:00:00,33,Atlético Mineiro,0,3,Corinthians
2015-11-01 18:00:00,33,Vasco da Gama,0,1,Fluminense
2015-11-01 19:30:00,33,Goiás,2,1,Internacional
2015-11-07 17:00:00,34,Internacional,1,0,Ponte Preta
2015-11-07 19:30:00,34,Atl Paranaense,2,1,Avaí
2015-11-07 19:30:00,34,Corinthians,2,1,Coritiba
2015-11-07 21:00:00,34,Fluminense,2,3,Chapecoense
2015-11-08 17:00:00,34,Flamengo,4,1,Goiás
2015-11-08 17:00:00,34,Cruzeiro,2,1,São Paulo
2015-11-08 17:00:00,34,Palmeiras,0,2,Vasco da Gama
2015-11-08 17:00:00,34,Figueirense,0,1,Atlético Mineiro
2015-11-08 18:00:00,34,Joinville,0,0,Santos
2015-11-08 18:30:00,34,Sport Recife,1,0,Grêmio
2015-11-15 17:00:00,35,Cruzeiro,3,0,Sport Recife
2015-11-18 19:30:00,35,Goiás,1,3,Coritiba
2015-11-18 21:00:00,35,Atl Paranaense,3,3,Palmeiras
2015-11-18 21:00:00,35,Avaí,2,1,Joinville
2015-11-18 21:00:00,35,Ponte Preta,0,1,Figueirense
2015-11-19 19:30:00,35,Grêmio,1,0,Fluminense
2015-11-19 20:00:00,35,Chapecoense,1,0,Internacional
2015-11-19 22:00:00,35,Vasco da Gama,1,1,Corinthians
2015-11-19 22:00:00,35,São Paulo,4,2,Atlético Mineiro
2015-11-19 22:00:00,35,Santos,0,0,Flamengo
2015-11-21 19:30:00,36,Palmeiras,1,1,Cruzeiro
2015-11-22 17:00:00,36,Corinthians,6,1,São Paulo
2015-11-22 17:00:00,36,Atlético Mineiro,2,2,Goiás
2015-11-22 17:00:00,36,Figueirense,0,0,Chapecoense
2015-11-22 17:00:00,36,Joinville,1,2,Vasco da Gama
2015-11-22 17:00:00,36,Internacional,1,0,Grêmio
2015-11-22 18:00:00,36,Flamengo,1,1,Ponte Preta
2015-11-22 18:30:00,36,Sport Recife,0,0,Atl Paranaense
2015-11-22 19:30:00,36,Coritiba,1,0,Santos
2015-11-22 19:30:00,36,Fluminense,3,1,Avaí
2015-11-28 17:00:00,37,São Paulo,3,2,Figueirense
2015-11-28 19:30:00,37,Fluminense,1,1,Internacional
2015-11-28 21:00:00,37,Avaí,1,0,Ponte Preta
2015-11-29 16:00:00,37,Sport Recife,2,0,Corinthians
2015-11-29 17:00:00,37,Cruzeiro,3,0,Joinville
2015-11-29 17:00:00,37,Grêmio,2,1,Atlético Mineiro
2015-11-29 18:00:00,37,Vasco da Gama,1,0,Santos
2015-11-29 18:00:00,37,Palmeiras,0,2,Coritiba
2015-11-29 18:00:00,37,Chapecoense,1,3,Goiás
2015-11-29 19:30:00,37,Atl Paranaense,3,0,Flamengo
2015-12-06 17:00:00,38,Ponte Preta,0,1,Sport Recife
2015-12-06 17:00:00,38,Joinville,0,2,Grêmio
2015-12-06 17:00:00,38,Atlético Mineiro,3,0,Chapecoense
2015-12-06 17:00:00,38,Figueirense,1,0,Fluminense
2015-12-06 17:00:00,38,Goiás,0,1,São Paulo
2015-12-06 17:00:00,38,Flamengo,1,2,Palmeiras
2015-12-06 17:00:00,38,Santos,5,1,Atl Paranaense
2015-12-06 17:00:00,38,Corinthians,1,1,Avaí
2015-12-06 17:00:00,38,Coritiba,0,0,Vasco da Gama
2015-12-06 17:00:00,38,Internacional,2,0,Cruzeiro
