match,player,X,Y
Goiás x São Paulo,Luan,55,72
Goiás x São Paulo,Luan,40,63
Goiás x São Paulo,Luan,59,71
Goiás x São Paulo,Luan,59,71
Goiás x São Paulo,Luan,24,97
Goiás x São Paulo,Luan,31,75
Goiás x São Paulo,Luan,57,72
Goiás x São Paulo,Luan,61,77
Goiás x São Paulo,Luan,57,27
Goiás x São Paulo,Luan,65,22
Goiás x São Paulo,Luan,30,57
Goiás x São Paulo,Luan,55,68
Goiás x São Paulo,Luan,46,54
Goiás x São Paulo,Luan,41,32
Goiás x São Paulo,Luan,63,13
Goiás x São Paulo,Luan,54,57
Goiás x São Paulo,Luan,32,36
Goiás x São Paulo,Luan,30,2
Goiás x São Paulo,Luan,72,73
Goiás x São Paulo,Luan,10,63
Goiás x São Paulo,Luan,9,40
Goiás x São Paulo,Luan,61,62
Goiás x São Paulo,Luan,60,86
Goiás x São Paulo,Luan,32,60
Goiás x São Paulo,Luan,43,35
Goiás x São Paulo,Luan,85,65
Goiás x São Paulo,Luan,68,62
Goiás x São Paulo,Luan,26,56
Goiás x São Paulo,Luan,21,83
Goiás x São Paulo,Luan,21,85
Goiás x São Paulo,Luan,69,71
Goiás x São Paulo,Luan,71,64
Goiás x São Paulo,Luan,62,83
Goiás x São Paulo,Luan,63,79
Goiás x São Paulo,Luan,30,44
Goiás x São Paulo,Luan,31,50
Goiás x São Paulo,Luan,39,82
Goiás x São Paulo,Luan,38,82
Goiás x São Paulo,Luan,44,80
Goiás x São Paulo,Luan,34,69
Goiás x São Paulo,Luan,33,50
Goiás x São Paulo,Luan,25,44
Goiás x São Paulo,Luan,32,57
Goiás x São Paulo,Luan,40,66
Goiás x São Paulo,Luan,28,38
Goiás x São Paulo,Luan,29,35
Goiás x São Paulo,Luan,13,32
Goiás x São Paulo,Luan,45,38
Goiás x São Paulo,Luan,60,54
Goiás x São Paulo,Luan,74,75
Goiás x São Paulo,Luan,30,58
Goiás x São Paulo,Luan,29,37
Goiás x São Paulo,Luan,27,18
Goiás x São Paulo,Luan,32,68
Goiás x São Paulo,Luan,40,78
Goiás x São Paulo,Luan,53,28
Goiás x São Paulo,Luan,31,39
Goiás x São Paulo,Luan,39,29
Goiás x São Paulo,Luan,33,31
Goiás x São Paulo,Luan,45,22
Goiás x São Paulo,Luan,42,30
Goiás x São Paulo,Luan,30,56
Goiás x São Paulo,Luan,41,18
Goiás x São Paulo,Luan,41,14
Goiás x São Paulo,Gabriel Sara,59,7
Goiás x São Paulo,Gabriel Sara,53,12
Goiás x São Paulo,Gabriel Sara,68,31
Goiás x São Paulo,Gabriel Sara,77,68
Goiás x São Paulo,Gabriel Sara,99,82
Goiás x São Paulo,Gabriel Sara,97,89
