match,player,X,Y
Corinthians x Atlético GO,D. Avelar,45,84
Corinthians x Atlético GO,D. Avelar,44,76
Corinthians x Atlético GO,D. Avelar,8,55
Corinthians x Atlético GO,D. Avelar,43,69
Corinthians x Atlético GO,D. Avelar,13,86
Corinthians x Atlético GO,D. Avelar,10,50
Corinthians x Atlético GO,D. Avelar,8,84
Corinthians x Atlético GO,D. Avelar,22,91
Corinthians x Atlético GO,D. Avelar,20,63
Corinthians x Atlético GO,D. Avelar,33,70
Corinthians x Atlético GO,D. Avelar,44,60
Corinthians x Atlético GO,D. Avelar,53,83
Corinthians x Atlético GO,D. Avelar,14,53
Corinthians x Atlético GO,D. Avelar,18,61
Corinthians x Atlético GO,D. Avelar,7,36
Corinthians x Atlético GO,D. Avelar,27,95
Corinthians x Atlético GO,D. Avelar,38,75
Corinthians x Atlético GO,D. Avelar,42,92
Corinthians x Atlético GO,D. Avelar,33,60
Corinthians x Atlético GO,D. Avelar,32,74
Corinthians x Atlético GO,D. Avelar,36,89
Corinthians x Atlético GO,D. Avelar,34,90
Corinthians x Atlético GO,D. Avelar,40,66
Corinthians x Atlético GO,D. Avelar,14,59
Corinthians x Atlético GO,D. Avelar,31,65
Corinthians x Atlético GO,D. Avelar,40,70
Corinthians x Atlético GO,D. Avelar,2,64
Corinthians x Atlético GO,D. Avelar,25,72
Corinthians x Atlético GO,D. Avelar,37,77
Corinthians x Atlético GO,D. Avelar,41,91
Corinthians x Atlético GO,D. Avelar,7,93
Corinthians x Atlético GO,D. Avelar,22,71
Corinthians x Atlético GO,D. Avelar,22,84
Corinthians x Atlético GO,D. Avelar,32,63
Corinthians x Atlético GO,D. Avelar,32,59
Corinthians x Atlético GO,D. Avelar,44,71
Corinthians x Atlético GO,D. Avelar,37,66
Corinthians x Atlético GO,D. Avelar,44,77
Corinthians x Atlético GO,D. Avelar,25,72
Corinthians x Atlético GO,D. Avelar,40,92
Corinthians x Atlético GO,D. Avelar,46,83
Corinthians x Atlético GO,D. Avelar,60,86
