match,player,X,Y
Flamengo x Atl. Mineiro,R. Caio,4,44
Flamengo x Atl. Mineiro,R. Caio,4,45
Flamengo x Atl. Mineiro,R. Caio,24,29
Flamengo x Atl. Mineiro,R. Caio,24,29
Flamengo x Atl. Mineiro,R. Caio,30,12
Flamengo x Atl. Mineiro,R. Caio,31,25
Flamengo x Atl. Mineiro,R. Caio,31,16
Flamengo x Atl. Mineiro,R. Caio,58,6
Flamengo x Atl. Mineiro,R. Caio,28,42
Flamengo x Atl. Mineiro,R. Caio,55,31
Flamengo x Atl. Mineiro,R. Caio,46,41
Flamengo x Atl. Mineiro,R. Caio,47,42
Flamengo x Atl. Mineiro,R. Caio,14,21
Flamengo x Atl. Mineiro,R. Caio,62,16
Flamengo x Atl. Mineiro,R. Caio,30,18
Flamengo x Atl. Mineiro,R. Caio,53,26
Flamengo x Atl. Mineiro,R. Caio,40,30
Flamengo x Atl. Mineiro,R. Caio,32,4
Flamengo x Atl. Mineiro,R. Caio,62,31
Flamengo x Atl. Mineiro,R. Caio,28,30
Flamengo x Atl. Mineiro,R. Caio,52,49
Flamengo x Atl. Mineiro,R. Caio,22,73
Flamengo x Atl. Mineiro,R. Caio,34,26
Flamengo x Atl. Mineiro,R. Caio,36,60
Flamengo x Atl. Mineiro,R. Caio,20,25
Flamengo x Atl. Mineiro,R. Caio,45,35
Flamengo x Atl. Mineiro,R. Caio,30,25
Flamengo x Atl. Mineiro,R. Caio,35,15
Flamengo x Atl. Mineiro,R. Caio,35,15
Flamengo x Atl. Mineiro,R. Caio,39,36
Flamengo x Atl. Mineiro,R. Caio,36,20
Flamengo x Atl. Mineiro,R. Caio,37,19
Flamengo x Atl. Mineiro,R. Caio,37,17
Flamengo x Atl. Mineiro,R. Caio,38,6
Flamengo x Atl. Mineiro,Léo Pereira,28,71
Flamengo x Atl. Mineiro,Léo Pereira,21,31
Flamengo x Atl. Mineiro,Léo Pereira,45,58
Flamengo x Atl. Mineiro,Léo Pereira,11,70
Flamengo x Atl. Mineiro,Léo Pereira,45,49
Flamengo x Atl. Mineiro,Léo Pereira,31,50
Flamengo x Atl. Mineiro,Léo Pereira,26,51
Flamengo x Atl. Mineiro,Léo Pereira,39,39
Flamengo x Atl. Mineiro,Léo Pereira,30,44
Flamengo x Atl. Mineiro,Léo Pereira,24,29
Flamengo x Atl. Mineiro,Léo Pereira,20,68
Flamengo x Atl. Mineiro,Léo Pereira,37,94
Flamengo x Atl. Mineiro,Léo Pereira,33,93
Flamengo x Atl. Mineiro,Léo Pereira,23,93
Flamengo x Atl. Mineiro,Léo Pereira,89,49
Flamengo x Atl. Mineiro,Léo Pereira,27,44
Flamengo x Atl. Mineiro,Léo Pereira,27,62
Flamengo x Atl. Mineiro,Léo Pereira,41,76
