round,date,home_team,home_score,away_score,away_team
34,2021-02-04,Fortaleza,3,1,Coritiba
34,2021-02-04,Athletico-PR,0,0,Internacional
34,2021-02-04,Flamengo,2,0,Vasco
34,2021-02-05,Botafogo,0,1,Sport Recife
34,2021-02-19,São Paulo,1,1,Palmeiras
35,2021-02-06,Bahia,3,3,Goiás
35,2021-02-06,Atlético GO,1,1,Santos
35,2021-02-07,RB Bragantino,1,1,Flamengo
35,2021-02-08,Botafogo,2,5,Grêmio
35,2021-02-10,Internacional,1,2,Sport Recife
35,2021-02-10,Fortaleza,3,0,Vasco
35,2021-02-10,São Paulo,1,1,Ceará
35,2021-02-10,Corinthians,3,3,Athletico-PR
35,2021-02-10,Fluminense,0,0,Atl. Mineiro
35,2021-02-17,Coritiba,1,0,Palmeiras
36,2021-02-13,Goiás,2,0,Botafogo
36,2021-02-13,Atl. Mineiro,1,1,Bahia
36,2021-02-13,Santos,2,0,Coritiba
36,2021-02-14,Flamengo,2,1,Corinthians
36,2021-02-14,Vasco,0,2,Internacional
36,2021-02-14,Athletico-PR,2,1,Atlético GO
36,2021-02-14,Palmeiras,3,0,Fortaleza
36,2021-02-14,Grêmio,1,2,São Paulo
36,2021-02-15,Ceará,1,3,Fluminense
36,2021-02-15,Sport Recife,0,0,RB Bragantino
37,2021-02-20,Coritiba,0,2,Ceará
37,2021-02-20,Fortaleza,0,4,Bahia
37,2021-02-21,Corinthians,0,0,Vasco
37,2021-02-21,Flamengo,2,1,Internacional
37,2021-02-21,Sport Recife,2,3,Atl. Mineiro
37,2021-02-21,Grêmio,1,0,Athletico-PR
37,2021-02-21,Santos,1,1,Fluminense
37,2021-02-21,Goiás,0,0,RB Bragantino
37,2021-02-22,Palmeiras,1,1,Atlético GO
37,2021-02-22,Botafogo,1,0,São Paulo
38,2021-02-25,Atlético GO,3,1,Coritiba
38,2021-02-25,Atl. Mineiro,2,0,Palmeiras
38,2021-02-25,Bahia,2,0,Santos
38,2021-02-25,Ceará,2,1,Botafogo
38,2021-02-25,Athletico-PR,2,0,Sport Recife
38,2021-02-25,Fluminense,2,0,Fortaleza
38,2021-02-25,Internacional,0,0,Corinthians
38,2021-02-25,RB Bragantino,1,0,Grêmio
38,2021-02-25,São Paulo,2,1,Flamengo
38,2021-02-25,Vasco,3,2,Goiás
